SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE,股票名称
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,840844.32,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004001003,投资物业,14719405800.0,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004001010,预付款项,8184341.52,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,14728430985.84,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,30261135.12,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004002007,预缴及应收税项,6961968.72,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,271701988.08,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,308925091.92,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004009999,总资产,15037356077.76,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,56609751.24,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011003,应付税项,20803488.6,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),564884.4,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011016,衍生金融工具-负债(流动),2754042.96,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,80732167.2,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,228192924.72,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,14956623910.56,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004020001,长期贷款,5708669888.16,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,448079270.64,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004020013,衍生金融工具-负债,,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,262069.32,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004020999,非流动负债合计,6157011228.12,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004025999,总负债,6237743395.32,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004028999,净资产,8799612682.44,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004030001,股本,3180021.36,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004030002,储备,8796432661.08,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004030999,股东权益,8799612682.44,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004036999,总权益,8799612682.44,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,14956623910.56,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,15037356077.76,2024-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,837347.28,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004001003,投资物业,14193217640.0,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004001010,预付款项,5323136.28,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,14199378123.56,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,39618125.96,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004002007,预缴及应收税项,,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,111026449.52,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,150644575.48,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004009999,总资产,14350022699.04,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,61808735.1,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011003,应付税项,38151862.0,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),732225.76,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,5482907397.1,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011016,衍生金融工具-负债(流动),,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,5583600219.96,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,-5432955644.48,2023-12-31 00:00:00,W
01270.HK,01270,朗廷-SS,10321431,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,8766422479.08,2023-12-31 00:00:00,W
