SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,372088428.24,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,372088428.24,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005001,营运支出,19245889.32,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,352842538.92,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010001,其他收入,5001542.04,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,14516603.04,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010006,重估盈余,167793817.8,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,511121295.72,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,298405277.52,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,212716018.2,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,-1869674.76,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,214585692.96,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,214585692.96,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,214585692.96,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,0.0648228,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,0.0648228,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,214585692.96,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,214585692.96,W
