SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE,股票名称
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,30238782000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001004,无形资产,30230342000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,1925046000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001010,预付款项,3388578000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001017,长期投资,7528508000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001019,其他投资,19800129000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,21508671000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,114620056000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002001,存货,1734124000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,2653046000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,17554813000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002008,短期投资,97409161000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,19549620000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,70834097000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,209734861000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004009999,总资产,324354917000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,50324999000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011002,应付票据,16567532000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011003,应付税项,207072000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),2622066000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011007,递延收入(流动),5724688000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,21340998000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011009,预收款项,11147206000.0,2024-12-31 00:00:00,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,1079000.0,2024-12-31 00:00:00,美团-W
