SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),37985429000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001002,减:利息收入,3825792000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001003,加:利息支出,1336934000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,1206645000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001007,减:重估盈余,140921000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,306897000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,8421350000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001010,减:汇兑收益,-197631000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,6596472000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,51470851000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002001,存货(增加)减少,-428955000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,-180257000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),2992838000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,1311188000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),-414722000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),3244784000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002009,递延收入(增加)减少,126556000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002014,存款(增加)减少,-185863000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,57936420000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003003,已付税项,789636000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,57146784000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005002,已收股息(投资),111949000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005004,处置固定资产,897206000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,10999490000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005007,购建无形资产及其他资产,36158000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005008,出售附属公司,1814238000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005010,收回投资所得现金,237292570000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005011,投资支付现金,218724270000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005997,投资业务其他项目,-150793000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,10205252000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,006999,融资前现金净额,67352036000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007001,新增借款,20262380000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007002,偿还借款,21491985000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007004,已付股息(融资),3185000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007006,发行股份,152038000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007008,回购股份,26089621000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007011,偿还融资租赁,3097904000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007997,融资业务其他项目,-146383000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007999,融资业务现金净额,-30414660000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,010999,现金净额,36937376000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011001,期初现金,33339754000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011997,期间变动其他项目,556967000,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011999,期末现金,70834097000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001001,除税前溢利(业务利润),14021868000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001002,减:利息收入,4143108000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001003,加:利息支出,1423853000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001006,加:减值及拨备,1355157000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001007,减:重估盈余,234227000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001008,减:出售资产之溢利,151527000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001009,加:折旧及摊销,7996757000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001010,减:汇兑收益,74998000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001997,加:经营调整其他项目,7075394000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001999,营运资金变动前经营溢利,27269169000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002001,存货(增加)减少,-141830000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002002,应收帐款减少,-727944000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),4381206000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002006,营运资本变动其他项目,11361575000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),1482639000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),1335720000,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002009,递延收入(增加)减少,544757000,美团-W
