SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,337591576000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,337591576000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005002,销售成本,207806982000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,129784594000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010002,其他收益,3574985000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,63975235000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,10729203000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010005,减值及拨备,897505000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010006,重估盈余,140921000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010010,研发费用,21053601000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,36844956000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011200,利息收入,1291807000.0,美团-W
03690.HK,03690,美团-W,10945642,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,1337038000.0,美团-W
